Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Remaining_Balance,Is_Late,Days_Late
8054,5824,2023-03-12,507.84,890.01,0,0
8055,5363,2024-09-01,853.29,28668.54,0,0
8056,5383,2022-06-18,552.53,4409.32,0,0
8057,5751,2020-05-16,1431.88,31575.19,0,0
8058,5525,2023-10-31,803.02,6724.1,1,55
8059,5382,2023-06-29,276.43,13817.86,0,0
8060,5184,2023-01-05,1148.05,30450.86,1,31
8061,5194,2020-09-17,627.5,38169.25,0,0
8062,5462,2024-09-14,1049.54,14857.36,0,0
8063,5056,2023-04-29,563.47,33176.01,0,0
8064,5230,2020-12-07,941.97,7631.69,0,0
8065,5489,2020-02-25,1203.8,32287.19,1,34
8066,5028,2020-03-21,1406.41,26299.76,0,0
8067,5832,2022-04-17,539.47,7709.74,0,0
8068,5583,2024-10-18,635.31,12100.16,0,0
8069,5722,2023-02-21,803.55,5270.84,0,0
8070,5960,2020-08-23,1405.33,15318.68,0,0
8071,5184,2021-10-12,1371.8,8145.95,0,0
8072,5425,2020-08-11,316.84,25759.92,1,54
8073,5375,2024-02-16,371.51,39780.2,0,0
8074,5868,2020-07-20,844.16,480.37,0,0
8075,5041,2020-08-17,338.61,21636.79,0,0
8076,5484,2021-12-15,649.26,22946.66,0,0
8077,5260,2024-11-24,392.9,36568.35,0,0
8078,5441,2020-09-14,1026.85,20240.21,1,3
8079,5926,2020-08-24,1434.34,21748.06,0,0
8080,5856,2021-11-30,1495.75,18866.11,0,0
8081,5084,2020-02-06,687.81,10756.17,1,15
8082,5046,2020-02-24,978.72,2241.17,0,0
8083,5440,2021-11-05,1313.15,16346.31,0,0
8084,5671,2020-03-23,352.7,2103.66,0,0
8085,5856,2024-03-20,1096.43,22019.7,1,56
8086,5519,2020-12-31,731.5,12291.75,0,0
8087,5986,2022-12-19,467.99,21344.1,0,0
8088,5845,2023-10-14,723.58,5371.88,0,0
8089,5438,2021-02-17,298.75,37305.2,0,0
8090,5136,2024-06-20,1104.03,35780.85,0,0
8091,5183,2023-11-20,528.57,7599.86,0,0
8092,5709,2021-01-06,604.83,13737.77,0,0
8093,5172,2020-06-12,357.41,24539.71,1,4
8094,5909,2023-12-21,1324.06,3827.45,0,0
8095,5861,2024-10-18,841.48,14182.71,0,0
8096,5788,2021-12-17,943.79,10044.49,1,10
8097,5590,2022-12-18,940.26,36620.67,0,0
8098,5928,2024-09-02,733.64,34100.43,1,25
8099,5956,2021-01-31,450.29,23193.31,0,0
8100,5690,2020-08-25,1168.67,20813.85,0,0
8101,5539,2020-10-14,365.17,37229.03,0,0
8102,5120,2024-11-12,335.04,37297.11,0,0
8103,5281,2021-09-10,1123.19,38773.21,0,0
8104,5308,2024-08-03,471.49,5015.16,0,0
8105,5708,2023-01-28,598.8,6422.31,0,0
8106,5277,2020-09-27,817.8,27069.47,0,0
8107,5530,2022-09-09,784.16,21657.38,0,0
8108,5295,2022-06-30,1121.15,738.64,0,0
8109,5783,2023-05-04,1010.46,2479.0,0,0
8110,5053,2024-04-20,1037.72,35523.22,0,0
8111,5806,2022-09-17,1128.27,34754.83,0,0
8112,5432,2020-07-01,580.4,14290.84,0,0
8113,5052,2024-08-03,619.03,35642.02,0,0
8114,5728,2024-06-09,769.4,23747.0,0,0
8115,5072,2024-06-24,599.7,32236.23,0,0
8116,5028,2021-09-08,1480.42,17097.24,1,19
8117,5469,2021-11-29,1258.27,4535.93,0,0
8118,5912,2022-06-26,414.05,17349.08,0,0
8119,5764,2020-10-15,207.27,18291.99,1,29
8120,5886,2020-02-16,255.62,22037.77,0,0
8121,5912,2023-07-17,517.28,4223.31,0,0
8122,5547,2020-03-20,348.58,39656.07,0,0
8123,5401,2022-08-28,893.34,9765.47,0,0
8124,5201,2023-01-17,1315.39,7942.1,0,0
8125,5761,2020-01-01,1157.78,21072.12,0,0
8126,5611,2024-05-18,480.29,21488.33,0,0
8127,5820,2022-01-13,719.09,17592.83,0,0
8128,5989,2020-11-05,860.26,30875.69,0,0
8129,5999,2022-06-26,1253.27,20666.18,0,0
8130,5466,2024-05-07,1290.86,24387.82,0,0
8131,5652,2024-08-12,1382.63,28949.86,0,0
8132,5595,2020-08-13,862.02,1001.0,0,0
8133,5560,2021-08-04,1102.56,22825.77,0,0
8134,5790,2022-04-26,345.34,35367.78,1,8
8135,5379,2021-08-04,934.88,695.55,0,0
8136,5760,2022-04-01,523.3,16207.28,0,0
8137,5895,2022-11-15,761.23,37049.1,0,0
8138,5177,2020-05-06,1024.27,14126.18,0,0
8139,5052,2020-06-19,534.08,18349.15,0,0
8140,5079,2023-07-02,267.84,39261.66,0,0
8141,5385,2021-07-08,213.3,7972.95,0,0
8142,5834,2024-02-28,228.81,2610.21,1,8
8143,5576,2023-05-22,210.85,34376.9,0,0
8144,5008,2022-03-04,343.46,34738.61,1,52
8145,5214,2020-01-08,511.34,18883.11,0,0
8146,5025,2022-04-30,487.59,20568.29,0,0
8147,5450,2020-11-06,1482.84,33432.25,1,17
8148,5768,2022-03-16,597.81,29542.38,0,0
8149,5755,2021-03-30,365.65,10605.96,1,26
8150,5969,2020-03-21,909.23,675.73,0,0
8151,5457,2022-03-07,1315.34,19188.01,0,0
8152,5461,2022-02-20,1081.48,34356.49,0,0
8153,5198,2024-11-06,584.91,35833.39,0,0
8154,5094,2020-09-14,930.1,38249.05,0,0
8155,5719,2024-01-29,1129.31,35182.53,0,0
8156,5947,2022-01-04,1146.54,23201.74,0,0
8157,5437,2023-10-21,1066.5,17784.22,0,0
8158,5527,2023-10-07,1332.05,30993.99,0,0
8159,5690,2021-11-05,1331.14,29592.87,0,0
8160,5967,2020-02-21,952.62,21525.74,0,0
8161,5378,2022-06-25,758.81,3493.09,0,0
8162,5587,2021-02-11,1034.04,37043.25,0,0
8163,5104,2021-02-18,1263.68,18224.1,1,47
8164,5806,2021-04-19,207.35,14533.35,0,0
8165,5680,2022-12-09,1489.6,25182.7,0,0
8166,5962,2024-01-10,437.76,26953.52,0,0
8167,5627,2024-10-05,811.32,8427.52,1,20
8168,5039,2021-03-15,1333.64,33477.55,0,0
8169,5458,2024-11-27,492.55,11597.48,0,0
8170,5364,2023-02-16,819.83,7467.36,0,0
8171,5785,2024-12-13,372.36,16255.99,0,0
8172,5135,2021-01-30,713.6,29222.4,0,0
8173,5374,2021-05-19,430.28,38618.33,1,56
8174,5232,2024-11-06,672.72,32371.25,1,12
8175,5039,2022-05-03,685.5,37613.94,0,0
8176,5964,2024-08-22,1491.12,5624.23,0,0
8177,5803,2023-08-23,1493.26,2847.07,1,9
8178,5819,2022-07-06,349.22,22308.19,0,0
8179,5047,2024-12-03,1143.76,11611.9,0,0
8180,5036,2020-01-08,267.27,33122.2,0,0
8181,5832,2024-04-03,239.25,26879.51,0,0
8182,5095,2023-06-29,336.93,38829.13,0,0
8183,5985,2023-03-23,1455.13,10191.69,1,29
8184,5361,2023-01-11,1423.12,19431.36,0,0
8185,5525,2024-01-23,452.11,20049.62,0,0
8186,5146,2023-12-12,410.17,9567.07,0,0
8187,5917,2021-02-11,512.7,23603.74,0,0
8188,5368,2020-05-29,870.21,17731.44,0,0
8189,5065,2020-09-11,940.62,17868.86,0,0
8190,5228,2022-03-13,488.07,14509.47,0,0
8191,5754,2020-09-26,1183.61,677.17,1,6
8192,5520,2022-10-19,602.42,20883.81,0,0
8193,5816,2023-05-18,1398.77,13409.91,1,31
8194,5853,2022-08-11,1053.74,52.79,0,0
8195,5555,2023-03-29,767.26,12317.75,0,0
8196,5756,2023-02-04,1226.89,11145.13,0,0
8197,5181,2023-10-17,1263.29,15737.93,0,0
8198,5501,2024-04-05,577.63,5274.08,0,0
8199,5597,2024-03-07,641.63,20307.35,0,0
8200,5155,2024-03-27,1416.74,27697.61,0,0
8201,5787,2022-05-04,414.16,25207.42,0,0
8202,5535,2024-08-05,254.8,32150.2,0,0
8203,5627,2024-10-15,790.27,18080.33,0,0
8204,5818,2022-09-04,1241.57,20763.67,0,0
8205,5435,2023-09-26,1203.17,32416.08,0,0
8206,5811,2021-11-22,1395.39,17108.05,0,0
8207,5099,2020-01-07,893.16,28063.97,0,0
8208,5616,2024-06-03,330.08,17384.09,0,0
8209,5372,2020-12-31,965.3,16709.45,0,0
8210,5563,2023-04-30,1211.91,30408.22,0,0
8211,5362,2020-07-19,321.33,6993.48,0,0
8212,5112,2020-05-12,424.45,13543.44,0,0
8213,5453,2024-07-18,215.98,8966.89,1,30
8214,5756,2022-07-16,971.75,14364.4,0,0
8215,5169,2024-06-10,1352.75,9214.99,1,30
8216,5584,2022-03-01,1071.86,23176.23,0,0
8217,5139,2022-07-02,1476.65,31926.83,1,23
8218,5848,2023-06-07,281.94,31464.52,0,0
8219,5231,2020-03-12,1373.9,14580.04,0,0
8220,5239,2021-09-02,1258.29,39550.42,0,0
8221,5984,2022-10-26,608.51,23754.17,0,0
8222,5253,2021-12-02,1465.58,15976.01,1,5
8223,5981,2023-10-21,574.32,33421.57,0,0
8224,5436,2024-05-30,1356.1,29194.96,1,2
8225,5919,2020-03-29,1344.97,29971.01,0,0
8226,5561,2022-11-16,1184.95,7845.57,0,0
8227,5422,2022-07-17,932.51,18732.97,0,0
8228,5303,2024-02-08,356.0,34473.13,1,29
8229,5072,2024-02-25,891.56,20161.52,0,0
8230,5263,2023-04-17,663.84,27338.11,0,0
8231,5834,2023-11-16,1229.88,23517.35,0,0
8232,5222,2023-07-29,1185.57,33694.27,0,0
8233,5077,2022-07-16,1383.8,11382.43,1,35
8234,5062,2023-07-07,219.28,23019.01,0,0
8235,5471,2020-10-14,1251.83,4929.39,0,0
8236,5157,2020-08-16,1420.0,27608.43,0,0
8237,5806,2022-11-05,1226.09,29278.71,0,0
8238,5125,2024-06-06,369.25,1713.49,0,0
8239,5741,2024-06-06,305.66,27031.64,0,0
8240,5852,2023-10-08,227.1,16587.61,0,0
8241,5161,2023-07-09,1017.37,4963.88,0,0
8242,5541,2020-07-28,1018.57,16796.3,0,0
8243,5626,2023-04-29,1482.99,7769.32,0,0
8244,5591,2022-10-12,717.46,16622.38,1,4
8245,5535,2024-08-06,631.48,15373.56,1,9
8246,5106,2024-11-09,1011.75,29535.67,0,0
8247,5131,2022-02-26,1273.29,30968.62,0,0
8248,5357,2020-05-24,1417.81,24281.15,0,0
8249,5989,2020-01-18,1244.06,907.47,0,0
8250,5685,2021-05-03,754.68,37240.89,0,0
8251,5776,2023-05-15,1025.39,27449.33,0,0
8252,5854,2024-11-01,1313.19,1367.82,0,0
8253,5885,2020-06-21,837.79,32753.32,0,0
8254,5797,2022-01-29,481.69,8010.65,1,46
8255,5002,2021-10-05,420.64,23168.85,0,0
8256,5233,2024-06-14,200.21,18665.37,0,0
8257,5369,2023-11-12,1133.71,16793.55,0,0
8258,5251,2024-10-13,344.43,35588.55,0,0
8259,5946,2022-08-07,516.99,17494.45,0,0
8260,5833,2021-09-02,587.24,3013.76,0,0
8261,5108,2021-03-19,928.49,37865.55,0,0
8262,5276,2022-11-18,717.34,36821.41,0,0
8263,5180,2020-09-25,1077.08,27377.31,0,0
8264,5725,2024-06-09,272.33,18715.7,0,0
8265,5293,2024-04-10,361.12,3714.38,1,28
8266,5584,2020-12-09,848.97,31629.92,0,0
8267,5795,2023-01-21,638.05,3019.12,0,0
8268,5175,2020-09-29,584.56,2744.04,0,0
8269,5123,2020-10-17,287.14,21495.35,0,0
8270,5227,2024-03-20,1364.43,6405.13,1,39
8271,5902,2023-01-05,1099.36,309.21,0,0
8272,5444,2021-02-05,358.1,16924.54,0,0
8273,5813,2021-02-12,284.56,5488.69,0,0
8274,5428,2024-08-05,1467.33,6420.62,0,0
8275,5083,2020-11-21,1085.52,3076.43,1,32
8276,5765,2023-01-08,742.69,8203.75,0,0
8277,5658,2023-08-29,1112.25,28619.37,0,0
8278,5632,2021-01-30,1183.23,32357.09,1,15
8279,5065,2023-07-18,1213.95,18101.35,0,0
8280,5281,2024-12-12,821.24,20262.15,0,0
8281,5795,2023-04-25,758.85,1306.2,0,0
8282,5391,2020-07-31,214.34,2772.65,0,0
8283,5428,2023-03-22,1404.52,10302.71,0,0
8284,5618,2024-07-14,984.3,21755.94,0,0
8285,5925,2022-03-25,464.1,29582.05,0,0
8286,5991,2024-05-04,1395.48,24200.12,1,54
8287,5812,2024-04-27,1389.41,15685.11,0,0
8288,5107,2022-07-08,1485.94,4732.96,0,0
8289,5548,2021-11-13,1336.27,31230.93,0,0
8290,5659,2024-05-09,1497.12,14551.44,1,49
8291,5262,2021-01-03,518.09,29442.16,0,0
8292,5921,2020-03-10,1294.92,20519.15,1,19
8293,5159,2024-11-29,1269.94,29546.48,0,0
8294,5265,2024-06-11,500.22,36291.58,1,8
8295,5468,2022-05-08,327.97,36841.18,0,0
8296,5202,2023-09-28,1473.25,21404.27,0,0
8297,5933,2024-01-08,584.83,20460.33,0,0
8298,5155,2022-04-20,1332.16,10627.14,0,0
8299,5013,2023-05-01,205.37,37431.99,0,0
8300,5297,2022-01-20,227.33,18316.77,0,0
8301,5896,2020-06-29,805.63,5103.65,0,0
8302,5834,2024-03-21,510.33,17308.2,1,50
8303,5498,2022-04-24,1096.79,5082.13,0,0
8304,5597,2020-01-27,935.23,20101.27,0,0
8305,5993,2022-09-28,300.73,22451.02,0,0
8306,5792,2020-02-02,411.42,13510.23,0,0
8307,5245,2022-10-30,704.46,2866.02,1,31
8308,5300,2024-12-02,441.29,37740.14,0,0
8309,5362,2023-12-28,1229.89,30934.12,0,0
8310,5354,2024-08-01,740.89,33555.24,0,0
8311,5828,2023-10-29,321.46,14674.74,1,40
8312,5521,2022-06-01,829.65,30433.24,1,14
8313,5386,2022-05-15,318.09,19414.92,0,0
8314,5759,2024-09-19,367.62,8043.34,0,0
8315,5312,2021-05-17,511.49,4976.94,0,0
8316,5414,2024-09-24,1317.39,13802.03,0,0
8317,5278,2024-01-22,1402.0,5502.08,0,0
8318,5750,2023-12-30,1274.14,39930.76,0,0
8319,5715,2024-09-05,634.3,1967.56,0,0
8320,5759,2023-01-26,554.18,17645.74,0,0
8321,5747,2022-07-21,913.9,18083.74,0,0
8322,5593,2020-03-29,1138.41,12025.28,0,0
8323,5356,2021-08-22,1491.38,22854.06,0,0
8324,5525,2022-10-01,371.04,5999.08,0,0
8325,5839,2024-08-24,264.08,31356.5,0,0
8326,5016,2020-07-13,1102.66,13297.91,0,0
8327,5993,2022-05-18,1281.89,23653.7,1,33
8328,5045,2022-10-11,1300.25,28625.57,0,0
8329,5321,2020-02-02,1082.0,35561.68,0,0
8330,5651,2023-04-01,1440.22,33431.5,1,2
8331,5326,2020-02-22,864.31,24332.36,0,0
8332,5148,2022-01-13,1387.96,15535.73,1,30
8333,5355,2024-10-19,1458.16,20128.19,0,0
8334,5236,2020-09-28,1301.3,30749.39,0,0
8335,5703,2021-09-16,602.69,35101.82,0,0
8336,5613,2024-02-10,455.08,4151.28,0,0
8337,5105,2022-10-29,912.56,15394.25,0,0
8338,5474,2022-10-02,788.92,31044.66,0,0
8339,5762,2023-04-16,1341.09,17266.07,1,57
8340,5396,2021-02-03,330.04,13289.11,0,0
8341,5446,2021-06-24,535.06,16452.91,0,0
8342,5606,2024-06-26,1177.34,24113.79,0,0
8343,5220,2022-06-17,323.48,39992.21,0,0
8344,5987,2024-02-05,616.99,19719.7,0,0
8345,5810,2021-03-24,703.3,8339.78,0,0
8346,5851,2020-11-16,1009.37,6513.86,0,0
8347,5965,2023-06-21,405.57,1693.99,0,0
8348,5442,2024-01-08,1318.79,22352.69,0,0
8349,5645,2021-10-15,781.8,21782.88,0,0
8350,5873,2022-12-25,1392.13,8209.36,0,0
8351,5667,2021-05-03,808.23,27813.18,0,0
8352,5028,2024-01-14,557.55,29644.28,0,0
8353,5794,2021-07-13,384.38,10363.93,0,0
8354,5475,2020-07-07,204.87,13763.99,0,0
8355,5628,2022-01-06,891.8,39618.87,0,0
8356,5305,2023-01-23,339.3,14970.58,0,0
8357,5746,2020-12-22,709.25,30432.07,0,0
8358,5405,2021-07-27,966.05,18109.02,0,0
8359,5513,2020-02-28,558.39,31733.79,0,0
8360,5502,2020-09-29,427.79,30760.93,1,20
8361,5348,2024-01-28,1207.14,26710.24,0,0
8362,5240,2023-06-18,1430.83,34191.13,0,0
8363,5570,2020-02-19,330.57,37568.74,0,0
8364,5847,2023-07-14,402.27,23199.33,1,24
8365,5695,2022-01-16,1448.02,9498.76,0,0
8366,5337,2021-11-16,249.12,15945.16,0,0
8367,5026,2024-12-12,1470.92,30332.23,0,0
8368,5980,2024-09-24,206.04,26035.34,0,0
8369,5409,2021-05-13,1335.77,7111.93,0,0
8370,5077,2021-03-06,599.52,2049.58,0,0
8371,5929,2024-04-28,1420.17,27318.46,0,0
8372,5217,2023-06-22,612.03,10043.16,1,56
8373,5328,2024-05-16,1050.6,19986.81,0,0
8374,5837,2021-09-01,304.04,29869.87,0,0
8375,5774,2020-10-12,515.03,22506.67,0,0
8376,5023,2023-10-01,1205.78,3332.1,0,0
8377,5756,2021-06-03,887.29,7423.21,1,26
8378,5670,2021-02-05,1406.36,8773.13,0,0
8379,5718,2022-03-13,757.38,10314.57,0,0
8380,5310,2021-03-08,1330.76,22616.14,1,41
8381,5599,2020-04-17,783.64,20158.63,0,0
8382,5267,2022-05-27,1473.02,8126.4,0,0
8383,5415,2023-06-22,1447.78,2702.19,0,0
8384,5646,2021-03-07,627.88,6857.29,1,22
8385,5267,2023-02-10,1351.7,39375.25,1,14
8386,5333,2023-01-01,1301.89,18741.88,0,0
8387,5780,2020-03-06,473.88,34693.82,0,0
8388,5450,2023-06-19,1011.58,33950.1,1,58
8389,5565,2022-11-29,294.49,20460.78,0,0
8390,5611,2023-03-18,1287.72,28267.51,1,40
8391,5247,2023-12-17,426.91,7710.08,0,0
8392,5036,2020-09-20,292.06,27535.87,0,0
8393,5401,2020-01-22,720.28,10895.38,0,0
8394,5028,2022-08-02,950.0,33282.48,0,0
8395,5220,2020-08-18,1311.39,3348.97,0,0
8396,5406,2021-08-25,1466.52,30925.55,1,7
8397,5614,2024-11-02,771.34,3997.48,0,0
8398,5775,2020-08-20,278.58,35247.57,1,4
8399,5271,2023-02-11,1173.85,12168.18,0,0
8400,5736,2021-03-02,934.73,26175.73,0,0
8401,5651,2023-07-03,782.26,19500.09,1,59
8402,5792,2021-11-05,602.05,14652.13,0,0
8403,5511,2021-05-09,853.12,25817.67,0,0
8404,5963,2022-03-05,640.28,37900.92,0,0
8405,5286,2023-01-24,1184.12,1650.79,0,0
8406,5454,2023-09-02,907.06,36754.11,0,0
8407,5762,2024-10-12,1339.9,24363.27,1,2
8408,5834,2021-10-17,906.61,32292.57,1,5
8409,5317,2022-06-27,509.74,15355.0,0,0
8410,5590,2024-06-08,1306.42,18873.72,0,0
8411,5297,2022-06-03,924.38,34754.03,0,0
8412,5338,2022-04-17,468.89,16593.92,0,0
8413,5307,2024-05-16,1010.56,21386.38,0,0
8414,5428,2021-09-24,665.03,807.8,1,37
8415,5351,2022-09-20,1297.73,6343.92,0,0
8416,5511,2024-03-09,789.29,25667.46,0,0
8417,5525,2022-12-17,1144.37,28679.08,1,45
8418,5858,2022-07-27,324.2,23304.04,0,0
8419,5492,2021-04-22,714.83,5732.4,1,14
8420,5908,2024-03-18,1478.21,17816.22,0,0
8421,5594,2021-02-05,1251.0,14203.79,0,0
8422,5009,2021-10-01,407.92,19826.45,1,32
8423,5497,2023-07-26,561.09,34813.16,0,0
8424,5725,2023-05-17,628.76,31034.46,1,22
8425,5560,2020-10-04,1045.48,3359.58,1,0
8426,5561,2020-05-28,1184.09,35612.37,0,0
8427,5821,2022-07-31,1174.38,18870.69,0,0
8428,5440,2024-12-11,862.84,29754.49,0,0
8429,5552,2020-06-11,1254.07,5601.57,1,60
8430,5875,2022-09-30,768.2,26828.78,0,0
8431,5792,2021-11-10,361.04,9453.04,0,0
8432,5738,2021-10-30,933.77,17535.24,0,0
8433,5968,2020-08-09,1437.99,674.51,0,0
8434,5108,2024-05-01,1230.89,6064.43,1,2
8435,5245,2024-01-01,952.31,3683.22,1,21
8436,5255,2022-09-29,1040.85,9589.77,1,34
8437,5033,2021-04-11,1409.73,4000.72,0,0
8438,5023,2022-01-10,756.85,27676.4,0,0
8439,5845,2022-02-10,630.81,1161.6,0,0
8440,5566,2024-01-17,1470.41,24709.62,0,0
8441,5821,2021-12-23,1322.48,5628.31,0,0
8442,5049,2020-12-19,619.96,37806.46,1,5
8443,5462,2020-06-11,802.91,37323.76,1,6
8444,5590,2024-07-15,739.6,9020.12,1,8
8445,5336,2020-01-25,393.82,24576.85,1,8
8446,5945,2023-09-08,1445.17,1120.21,1,34
8447,5358,2024-02-21,725.61,37271.54,0,0
8448,5122,2022-12-31,1337.93,20919.49,1,22
8449,5444,2021-12-12,446.16,1728.93,0,0
8450,5359,2021-05-11,912.23,13700.0,0,0
8451,5602,2021-03-06,231.15,3073.98,0,0
8452,5346,2021-12-03,1193.49,15717.78,0,0
8453,5193,2024-09-03,955.19,26797.05,0,0
8454,5416,2024-08-13,1013.27,18795.6,0,0
8455,5377,2022-12-26,267.24,15348.89,0,0
8456,5463,2021-12-21,474.35,4766.28,1,15
8457,5756,2021-05-27,296.63,9797.56,1,54
8458,5661,2024-02-07,575.59,4005.73,0,0
8459,5146,2024-10-19,1015.67,32299.95,0,0
8460,5478,2021-03-29,936.04,5409.59,0,0
8461,5828,2020-10-09,995.79,23814.93,0,0
8462,5890,2024-02-29,914.03,13709.62,0,0
8463,5653,2024-03-29,554.94,9039.14,1,45
8464,5408,2022-01-27,517.86,25578.74,0,0
8465,5286,2021-06-28,378.18,18280.09,0,0
8466,5898,2023-11-13,1303.79,16005.82,0,0
8467,5851,2024-08-14,1001.42,23714.08,0,0
8468,5111,2022-10-31,442.46,19650.71,0,0
8469,5620,2023-03-18,430.37,12139.37,0,0
8470,5879,2021-03-10,1334.95,22362.45,1,9
8471,5793,2021-01-10,1165.55,26779.94,0,0
8472,5050,2023-06-23,1057.22,1067.73,0,0
8473,5014,2021-02-27,728.92,18634.87,0,0
8474,5134,2023-01-28,540.57,2307.33,0,0
8475,5588,2023-09-16,1473.29,7456.22,0,0
8476,5596,2021-07-11,1236.41,22420.35,0,0
8477,5343,2022-03-12,592.31,34647.56,0,0
8478,5670,2020-03-30,1301.83,35312.23,0,0
8479,5286,2021-07-19,1186.61,2797.76,0,0
8480,5934,2024-10-28,586.2,16764.2,0,0
8481,5314,2023-09-13,754.52,23320.26,0,0
8482,5606,2024-07-13,441.74,5882.8,0,0
8483,5297,2023-08-27,344.37,30617.29,0,0
8484,5606,2022-03-03,1139.59,29769.41,0,0
8485,5569,2024-08-08,547.77,36133.64,0,0
8486,5164,2022-09-17,1266.08,339.44,0,0
8487,5832,2020-05-06,1494.29,8667.37,0,0
8488,5497,2023-11-23,299.61,33087.47,0,0
8489,5610,2020-10-02,814.95,26823.2,0,0
8490,5016,2024-09-23,1242.68,35775.59,1,4
8491,5344,2023-04-28,1225.64,2287.19,0,0
8492,5078,2020-07-03,1188.0,23878.56,1,48
8493,5346,2021-10-15,653.69,22761.86,1,26
8494,5072,2023-08-28,790.01,1426.98,1,36
8495,5270,2023-08-23,973.46,20540.88,0,0
8496,5287,2024-11-17,1466.12,24380.81,0,0
8497,5066,2024-02-26,625.81,7651.73,0,0
8498,5880,2023-06-24,1400.09,10933.18,0,0
8499,5068,2021-12-10,550.16,25613.89,0,0
8500,5193,2022-08-20,1485.8,18732.04,1,32
8501,5055,2023-03-28,1071.34,34320.55,0,0
8502,5980,2021-04-13,802.56,13695.27,0,0
8503,5379,2020-01-24,997.41,10666.39,0,0
8504,5974,2022-10-26,554.29,39394.64,0,0
8505,5168,2020-01-23,556.43,36445.43,0,0
8506,5409,2020-06-05,347.62,1159.71,0,0
8507,5508,2021-05-07,348.27,30829.14,0,0
8508,5537,2022-12-22,651.97,4413.39,0,0
8509,5643,2021-08-14,1191.71,1099.41,1,54
8510,5837,2022-03-29,990.36,10947.82,1,39
8511,5102,2023-04-19,333.36,10773.84,0,0
8512,5886,2023-11-08,1307.91,32772.75,1,0
8513,5794,2022-10-22,981.78,28426.69,0,0
8514,5808,2021-03-15,1449.11,39264.38,0,0
8515,5806,2023-02-13,1071.24,28460.52,0,0
8516,5422,2024-08-23,427.73,16730.22,0,0
8517,5964,2021-08-24,815.92,27957.11,0,0
8518,5775,2024-12-15,1043.05,39978.36,0,0
8519,5478,2022-05-06,236.74,28405.68,0,0
8520,5926,2021-07-23,219.38,30467.25,0,0
8521,5120,2021-01-16,368.22,37534.6,0,0
8522,5915,2023-07-23,527.16,4546.05,0,0
8523,5743,2024-11-15,758.41,28191.37,0,0
8524,5291,2020-07-20,833.67,34032.24,1,59
8525,5488,2020-12-22,379.44,38175.14,0,0
8526,5161,2021-08-15,1075.41,8438.77,0,0
8527,5673,2023-11-18,974.98,20157.16,0,0
